Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)
conn_from_pod1_host3_to_pod5_host3_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0186632, 0.0184827, 6.19178e+08

conn_from_pod1_host3_to_pod5_host4_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186093, 0.0184115, 6.21572e+08

conn_from_pod1_host3_to_pod5_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0184357, 0.0182398, 6.27425e+08

conn_from_pod1_host3_to_pod5_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186826, 0.0184841, 6.19133e+08

conn_from_pod1_host3_to_pod5_host7_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186248, 0.0184268, 6.21056e+08

conn_from_pod1_host3_to_pod5_host8_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185896, 0.018392, 6.22232e+08

conn_from_pod1_host3_to_pod5_host9_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0185749, 0.0183953, 6.2212e+08

conn_from_pod1_host3_to_pod6_host1_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186533, 0.0184551, 6.20106e+08

conn_from_pod1_host3_to_pod6_host2_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183827, 0.0181873, 6.29236e+08

conn_from_pod1_host3_to_pod6_host3_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183005, 0.018106, 6.3206e+08

conn_from_pod1_host3_to_pod6_host4_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0185039, 0.018325, 6.24507e+08

conn_from_pod1_host3_to_pod6_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186003, 0.0184026, 6.21874e+08

conn_from_pod1_host3_to_pod6_host6_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0184347, 0.0182565, 6.26852e+08

conn_from_pod1_host3_to_pod6_host7_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0182885, 0.0180941, 6.32477e+08

conn_from_pod1_host3_to_pod6_host8_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186948, 0.0184961, 6.18729e+08

conn_from_pod1_host3_to_pod6_host9_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186036, 0.0184059, 6.21762e+08

conn_from_pod1_host4_to_pod1_host1_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183796, 0.0181843, 6.2934e+08

conn_from_pod1_host4_to_pod1_host2_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.018334, 0.0181391, 6.30907e+08

conn_from_pod1_host4_to_pod1_host3_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0183263, 0.0181491, 6.30561e+08

conn_from_pod1_host4_to_pod1_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183287, 0.0181339, 6.31087e+08

conn_from_pod1_host4_to_pod1_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183528, 0.0181578, 6.30259e+08

